smiles,logs
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,-4.151088918
CF,-0.175874376
c1ccc(OCCOc2ccccc2)cc1,-3.988526528
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.278038713
Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1,-1.439605121
CCCC(CCC)C(=O)[O-],-1.857977427
S=c1[n-]c2ccccc2s1,-4.285895804
Oc1ccccc1,-4.034756761
CCCCCCC=CC1CC(=O)OC1=O,-4.021753515
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,-5.229282852
CC1=CCC2CC1C2(C)C,-4.772570424
C[Si](C)(C)O[Si](C)(C)C,-4.909505216
C=C(F)C(F)(F)F,-2.759957367
O=c1ccc2ccccc2o1,-1.886030361
C=C(C)C1CC=C(C)CC1,-3.84649653
CCN(CC)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c(C)c1,-0.62297793
S=[W]=S,-4.139133643
CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,-1.642781181
CC(=O)OC1CC2CCC1(C)C2(C)C,-3.088778192
O=[Si]([O-])O,-6.6197116
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.135942613
O=c1ccc(=NNc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)c1=N[N-]c1ccc(S(=O)(=O)[O-])c2ccccc12,-2.603841144
CCCOCC(C)OCC(C)O,-0.070052651
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,-4.170824759
CCCCCCCCC=CCCCCCCCC(=O)[O-],-4.410087437
CCN(CC[n+]1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-1.521890085
O=C(Oc1ccccc1)Oc1ccccc1,-4.216916663
C=COC(=O)C(CC)CCCC,-4.151910976
C=C(C)C(=O)NCNC(=O)C(=C)C,-1.189236756
C1=CCCC=CCC1,-2.965977173
CO[Si](CCCN=C=O)(OC)OC,-3.256981001
CCO[Si](CCCCl)(OCC)OCC,-3.32858345
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.387683254
Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O,-1.79226117
O=C(c1ccccc1)c1ccc(O)c(O)c1O,-3.345107824
CCCCCCCCCC=CCC1CC(=O)OC1=O,-4.425503245
CC(=CC(C)CC(C)CC(C)C)C1CC(=O)OC1=O,-4.425503245
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,-5.345705158
CCCCCCCCCC(=O)Oc1ccc(C(=O)[O-])cc1,-5.42454755
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.676541809
COc1ccc(C=CC(=O)OCCC(C)C)cc1,-5.49192521
CCCCCCCCCCCCCCCC(=O)NCC(=O)[O-],-5.593122622
C1=CCCC=CCCC=CCC1,-5.365156254
CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,-6.102526939
N#Cc1ccccc1-c1ccc(CBr)cc1,-6.656649109
CCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)[NH2+]C(C)(C)C1,-6.214524895
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545253
COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C6CCCCC6)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,-7.555881514
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-6.183335848
c1cc2ccc3cccc4ccc(c1)c2c34,-6.178796616
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,-6.40319542
CCC(CC)CC1(C#N)CCCCC1,-6.587338232
COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1,-6.929013035
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.252394502
CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,-7.404250358
O=Cc1cccc2c1OC(F)(F)O2,-2.155833357
CCNc1cc(C#N)c(N)c2c1C(=O)c1ccccc1C2=O,-7.638280591
CCCCCCCCC=CCCCCCCCC[NH2+]CCC[NH3+],-8.25019206
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1,-8.185258765
O=[V]=O,-4.400250091
CCCCCCCCCCCC[n+]1ccccc1,-0.453910537
Cc1cccc(C)c1OCC(=O)[O-],-2.256644531
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,-1.825456144
O=c1c(CO)cc(=NNc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)c1=N[N-]c1ccc(S(=O)(=O)[O-])c2ccccc12,-0.817164744
CC(=O)c1ccc(O)cc1,-1.138382451
O.O.[Ca+2].[Mg+2],-1.988356233
Nc1ccc2c(c1)C(=O)C(=NNc1ccc(N=Nc3cccc(C(=O)[O-])c3O)c3ccccc13)C(S(=O)(=O)[O-])=C2,-2.786820452
CC(=O)C=CC=C(C)CCC=C(C)C,-3.297212067
C=CN1CCN(C=C)C1=O,-1.155886444
Nc1cc([N+](=O)[O-])ccc1O,-2.205601857
[Mg+2],-2.402069338
O=[Ca],-1.768326879
O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1,-3.274087547
Cc1ccc(S(=O)(=O)C(C#N)=CN2CC(=O)NC2=S)cc1,-3.529299295
CCc1occc(=O)c1O,-1.17595802
COC(=O)Cc1ccccc1,-2.211401723
O=S(=O)([O-])[O-],-4.226296416
Cc1c(Cl)cccc1[N+](=O)[O-],-3.27068643
O.O.[Ca+2],-1.910729926
O=P([O-])([O-])O,-3.055986963
CCCCCCCl,-3.122388733
C=C(C)C(=O)OCC(F)(F)F,-2.268475684
O=[N+]([O-])O[Bi](O[N+](=O)[O-])O[N+](=O)[O-],-2.642008137
CCCCCCC(C)=O,-2.153696327
CCCCCC=CCC(CC(=O)[O-])C(=O)[O-],-2.404240574
CC=CC(CCC)(C(=O)[O-])C(CCC)(CCC)C(=O)[O-],-3.495359601
CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C21C,-3.526422567
CC1=Nc2ccccc2C1=NNc1cc(Cl)c(S(=O)(=O)NCCS(=O)(=O)[O-])cc1Cl,-3.756179517
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,-4.536378597
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3],-8.744859544
C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21,-4.493085819
O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1,-4.578402879
O.O.O.[K+].[K+].[Ti+4],-5.583643126
C=CC(=O)OCC(CC)CCCC,-4.283204614
CCCCC(CC)COP(=S)([S-])OCC(CC)CCCC,-4.928855971
CC(=O)OC1CC2CC1C1CCCC21,-3.338049828
CCS,-0.84591656
CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,-2.595175443
CC(C)=CCCC(C)CC=O,-3.243750947
CC(C)C12CCC(C)(O1)C(O)C2,-0.288092629
CC(C)c1ccc(CCC=O)cc1,-3.302656786
CCCCBr,-2.197764187
CCCCCCCCCCCC(=O)NC(CCC(=O)[O-])C(=O)[O-],-3.60911048
CCCOC(C)OCCc1ccccc1,-3.384192904
COC(OC)C(C)(C)CC=C(C)C,-3.339761604
COC(C)(C)C1CC=C(C)CC1,-3.296613578
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(N(CC)CC)cc3[o+]c2c1.Cc1[n-]n(-c2ccccc2)c(=O)c1N=Nc1cc(S(=O)(=O)NCCCOC(C)C)ccc1[O-].Cc1[n-]n(-c2ccccc2)c(=O)c1N=Nc1cc(S(=O)(=O)NCCCOC(C)C)ccc1[O-].[Co+3],-3.235762244
O=[N+]([O-])c1cc(Cl)ccc1Cl,-3.364225398
C#CC(C)(O)CCC=C(C)CC,-2.302767888
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,-3.477980722
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,-3.680444963
O=C1C=CC(=O)N1c1ccccc1,-2.327317556
Cc1ccc(-n2[nH]c(C)cc2=O)cc1,-2.365667988
O=Cc1ccc(B(O)O)cc1,-2.267384667
CC(=O)CC(C)(C)c1ccccc1,-2.337666283
CCCCCOC(=O)CC,-2.250522404
FC(F)=C(F)Cl,-2.160954298
CCCCCCCCCCCCOCCO,-1.459377408
[NH3+]CCCCCCCCCCC(=O)[O-],-2.400775362
NC(=NC(=[NH2+])NCCCCCCNC(=[NH2+])N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,-2.800595088
CC=C1CC2C=CC1C2,-3.176796415
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,-3.525627796
CCCCOC(=O)c1ccccc1N,-3.383020526
O=C(OCc1ccccc1)c1ccccc1O,-4.413922406
CCCC[Sn](CCCC)(CCCC)CCCC,-4.596065772
CO,-3.994369951
[Cd+2],-4.111293422
O=S(=O)([O-])c1cccc2cc(Nc3ccccc3)cc(Nc3ccccc3)c12,-4.672502907
CCC(C)(OOC(C)(C)C)OOC(C)(C)C,-4.45076092
c1ccc(Sc2ccccc2)cc1,-4.360607869
CCOCCCNS(=O)(=O)c1ccc(Oc2cc(O)c3c(c2N)C(=O)c2ccccc2C3=O)cc1,-4.787470096
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-4.553119611
CC1=NN(c2cccc(S(=O)(=O)[O-])c2)C(=O)C1N=Nc1cc(Cl)c(Cl)cc1S(=O)(=O)[O-],-3.839084061
CCO,1.233668218
COc1ccc(OC)cc1,-2.245531528
c1ccc(CCOC2CCCCC2)cc1,-2.418090055
CCC(C)(CCC(C)C)C(=O)[O-],-2.716017407
CC=CC(=O)C1C(C)C=CCC1(C)C,-3.396366501
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,-3.557960056
CCCCCC=CCCC=O,-3.301742894
CN(CCO)c1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(Nc5ccccc5)nc(N(C)CCO)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1,-3.069321152
Cc1cc(C)c(C)c(O)c1,-2.252203004
CC(F)(F)F,-2.043101387
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.469930479
CN=C=S,-0.98322259
CN(C(=O)N(C)c1ccccc1)c1ccccc1,-3.497557581
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505
CC(C)CCCCCCCO,-3.324378497
CCC(=O)[O-],-0.437662317
CCOC(=O)C1OC1c1ccccc1,-2.409651238
CC(C)CCCC(C)(C)O,-2.286983634
CCC(=O)OCc1ccccc1,-2.344979827
C#CC1(OC(C)=O)CCCCC1,-2.352215179
CC[NH+](CC)CC,-0.137682984
CCCCCCCCC=CCCCCCCCC[NH2+]CCCNCCC[NH3+],-3.718391335
CSC,-0.931218902
CNC(=S)[S-],0.747325108
Nc1cc(Cl)c(Cl)cc1Cl,-3.435950486
Clc1cccc(C(Cl)(Cl)Cl)n1,-3.506108364
O=C([O-])c1cc2ccccc2cc1O,-3.417245584
C=CC=CC,-2.454265074
CC(C)c1cccc(C(C)CC=O)c1,-3.677346846
Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)ccc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])cc2c1C(=O)C(=NNc1ccc3c(S(=O)(=O)[O-])cccc3c1S(=O)(=O)[O-])C(S(=O)(=O)[O-])=C2,-1.277021164
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,-3.922851514
CCCCC,-3.006984006
CC=Cc1ccc(O)c(OC)c1,-2.364737497
Cc1ccc(C=O)cc1C,-2.277035079
CC([NH3+])c1ccccc1,-0.594139338
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,-1.099315041
CCCCOC(C)=O,-1.219958563
Nc1ccc(-c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,-2.691927271
COc1cc(C=O)cc([N+](=O)[O-])c1[O-],-2.44968993
CCN(CC)c1cccc(NC(C)=O)c1,-2.469378031
O=[Pb],-3.502355132
Cc1ccccc1NC(=[NH2+])Nc1ccccc1C,-3.533884584
CCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-7.09873715
C=C1C2CCC3C2C(C)(C)CCCC13C,-4.412762427
O=C(OCCc1ccccc1)c1ccccc1O,-4.489105335
CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1,-4.567302938
O=P([O-])([O-])O,-4.605114666
CCC(C)(C)C1CCCCC1OC(C)=O,-4.446203904
N#CC(=C1CCCCC1)c1ccccc1,-4.420023997
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.620257788
O=[N+]([O-])c1ccc(CCc2ccc([N+](=O)[O-])cc2)cc1,-4.5898858
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.469462233
CCCCCCCCCc1ccc(O)cc1,-4.49802684
COc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1[N+](=O)[O-],-4.653605269
CCCCCCCCCCCCCCCCCC[NH+](C)C,-4.678690034
CCCC[N+](CCCC)(CCCC)CCCC,1.332024844
[Cd+2],-3.323633394
Fc1ccc2c(c1)CCC(C1CO1)O2,-3.052101177
CC(C)=CCCC(C)=CCO,-2.351909504
COc1ccccc1OC,-1.314975067
Nc1cnn(CCO)c1N,0.444259344
O=S(=O)([O-])c1cccc(S(=O)(=O)[O-])c1,0.370947285
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-2.778562332
CCCCCCOC,-2.245085326
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,-2.533704672
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.7709815
CC(C)c1ccc(C(C)CC=O)cc1,-3.459862901
CC1=CC(C)C(CO)C(C)C1,-2.371197393
C=CC(C)(O)CCC=C(C)CC,-2.409128664
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1,-2.762296476
CC1CC(C)(c2ccccc2)CO1,-2.433237945
CCCCC(CC)C(=O)OCC,-3.423291255
Oc1cccc2cccnc12,-2.349605255
CCN(c1cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c1)c1nc(Cl)nc(Nc2ccc3c(c2)C=C(S(=O)(=O)[O-])C(=NNc2ccc(OC)cc2S(=O)(=O)[O-])C3=O)n1,-1.161671108
[Zn+2],-2.185828855
CCOc1ccccc1OCC,-2.41045076
CC=CC,-1.939465074
OCC(O)C(O)C(O)CO,0.625274489
C=CC(=C)C,-2.025733236
CCCCCCCCC=CCCCCCCCC[NH2+]CCC[NH2+]CCC[NH2+]CCCN,-3.836075758
CC(C)CCCC(C)CCO,-3.393259787
CCN1C(=O)C(=NNc2ccc(S(=O)(=O)c3ccc(NN=C4C(=O)N(CC)C(=O)C(CS(=O)(=O)[O-])=C4C)cc3)cc2)C(C)=C(CS(=O)(=O)[O-])C1=O,-2.10218738
CC(=O)c1ccccc1,-1.28038684
CCC=C(C)C(O)CCCCC,-3.431863898
CCCCOC(=O)CCC,-2.361047779
O=C([O-])c1ccccc1C(=O)[O-],-1.424573276
O=CC1CCC2C3CCC(C3)C12,-2.419967647
CC(C)c1ccccc1C(C)C,-2.497713585
Cc1cccc(C)c1O,-1.292396158
[Re],-0.475507957
CCC(O)c1ccccc1,-2.340367591
CC(=O)c1cccc(C(F)(F)F)c1,-2.482107917
Nc1ccc(Cl)cc1Cl,-2.417174258
CC(=O)OC1CC2CCC1(C)C2(C)C,-3.496323842
NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1,-3.758489195
O=P([O-])([O-])O,-3.468385388
C=CC=CCCC=CCC,-3.34190657
OCC=CCO,0.846685164
C=C(C)C(=O)OCCOCCOCCOCC,-0.603011426
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C([NH3+])C2SC1,-2.648977722
CCCCCCCCCC(=O)[O-],-3.445216137
CC(C)C,-2.977604072
CCCC,-2.977604072
CC,-2.691382006
CC1(C)C2CC=C(CCC=O)C1C2,-3.46576061
O=C([O-])Cc1ccc(O)cc1,-0.399080411
COc1ccc(COC(C)=O)cc1,-2.474006642
[F-],1.023394133
Nc1nc(N)[nH+]c(-c2ccccc2)n1,-2.494168514
C=CC(=O)OC1CCC(C(C)(C)C)CC1,-3.539328096
C=Cc1cc(Br)ccc1Br,-4.578730408
Cc1ccccc1NC(=O)c1cc2ccccc2cc1O,-4.623441954
COC(=O)c1nc(Cl)c(Cl)nc1N,-4.534838609
O1[Pb]O[Pb]2O[Pb]1O2,-4.008053211
CCCCCCCCC=CCCCCCCCC(=O)N(CCCC)CCCC,-4.788985441
C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.544220436
CCCCCCCCCOC(C)=O,-4.47086065
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-5.405053261
CCCCCCCCCCCCCC,-5.041697833
c1ccc2ccccc2c1,-4.311225605
O=C(OC1CCCCC1)c1ccccc1O,-4.554076293
C=C(C)C1CC=C(C)CC1,-4.346837785
CCC=CCCOC(=O)CC=CCC,-4.509709484
CCC12CCC3C4=C(CCC3C1CCC2O)CC(OC)=CC4,-4.702513826
CCCCCCCCCCCC(=O)OCC(O)CO,-4.660234439
COc1ccc(C(=O)c2ccccc2)c(O)c1,-4.580253828
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,-4.613478878
CCOC(=O)c1ccccc1,-2.39990224
O=C([O-])CCc1ccccc1,-1.405751413
CC(C)=CCCC(C)=CC=O,-2.411668206
CCCCCCC1CCCC1=O,-3.451515538
CC(C)=CCC(C)(C)C(=O)C(C)C,-3.489215864
C=Cc1ccc(O)c(C=C)c1,-3.394062684
Nc1ccc(Cl)cc1O,-2.390659928
CCOc1ccc(C(=O)[O-])cc1,-2.454899746
O.O.O=C([O-])O.O=C([O-])O.[Pb+2].[Pb+2].[Pb+2],-5.547231918
Nc1c(Cl)cc(C(F)(F)F)cc1Cl,-3.591642752
C[NH2+]CCCN1c2ccccc2CCc2ccccc21,-3.657617041
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,-3.703092646
CCCCCCCCC(O)CO,-2.478578955
CCC(C)C1CCCCC1=O,-2.427057806
COc1cc(C=O)ccc1OC(=O)C(C)C,-2.588667606
Cc1ccccc1,-2.206298299
Cc1cc(N=Nc2c(O)c(C(=O)[O-])cc3ccccc23)c(S(=O)(=O)[O-])cc1Cl,-3.944100371
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3.700359651
CCc1ccc(CC(C)(C)C#N)cc1,-3.351339264
ClCCCCCCCl,-3.43464733
CCC(=O)OC1C=CC2C3CCC(C3)C12,-3.558592794
CCOc1ccccc1,-2.331841643
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,-4.676528089
Cc1ccc(S(=O)(=O)[O-])cc1,-0.008033112
C=CCOC(=O)COc1ccccc1,-2.536373209
[I-],1.08677602
O=C([O-])CCCCC(=O)[O-],-0.623286686
CNS(=O)(=O)c1cc(OC)c(N)cc1OC,-3.651080563
O=P([O-])([O-])O,0.537602002
NC(N)=O,0.957840099
O=c1[nH]c2ccccc2[nH]1,-2.392751997
C#[O+],-3.292023351
C=CC(=O)OCCC(C)CCOC(=O)C=C,-2.621433551
Nc1cccc(Cl)c1,-1.373368413
CC(=O)OC1CCC2CCCCC2C1,-3.560504415
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,-7.335707323
C1=CCCC1,-2.104914482
O=C([O-])CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)[O-],-2.813509506
C,-3.333093505
FC(F)(F)C(F)(F)F,-2.423907212
CC(C)=CCCC(C)=CCCC=O,-3.538303545
C=C(C)C(=O)Oc1ccccc1,-2.494851361
CC(=O)C=C(C)O,-1.697530099
CC1=C(C=O)C(C)(C)CC=C1,-2.465007757
C[NH+](C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-2.711387028
CC(=O)CC(C)(C)C1CCCCC1,-3.548153643
CC1CCC(C(C)C)C(O)C1,-2.488009121
O=[Mo](=O)([O-])[O-],-2.634320541
Nc1ccc(Nc2ccccc2)cc1,-2.563130476
CCC(C)C(=O)N(C)c1ccccc1,-1.580579513
C=C[Si](C)(OC)OC,0.577623585
NC(=O)c1cccnc1,0.612158315
CNc1ccc(O)cc1,-0.838079267
