name,smarts
"phthalimide","[cR,CR]~C(=O)NC(=O)~[cR,CR]"
"Polycyclic_aromatic_hydrocarbon_1","a1aa2a3a(a1)A=AA=A3=AA=A2"
"Polycyclic_aromatic_hydrocarbon_2","a21aa3a(aa1aaaa2)aaaa3"
"Polycyclic_aromatic_hydrocarbon_3","a31a(a2a(aa1)aaaa2)aaaa3"
"polyene","[CR0]=[CR0][CR0]=[CR0]"
"quaternary_nitrogen_1","[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]"
"quaternary_nitrogen_2","[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]"
"quaternary_nitrogen_3","[*]=[N+]=[*]"
"saponine_derivative","O1CCCCC1OC2CCC3CCCCC3C2"
"silicon_halogen","[Si][F,Cl,Br,I]"
"stilbene","c1ccccc1C=Cc2ccccc2"
"sulfinic_acid","[SX3](=O)[O-,OH]"
"Sulfonic_acid_1","[C,c]S(=O)(=O)O[C,c]"
"Sulfonic_acid_2","S(=O)(=O)[O-,OH]"
"sulfonyl_cyanide","S(=O)(=O)C#N"
"sulfur_oxygen_single_bond","[SX2]O"
"sulphate","OS(=O)(=O)[O-]"
"sulphur_nitrogen_single_bond","[SX2H0][N]"
"Thiobenzothiazole_1","c12ccccc1(SC(S)=N2)"
"thiobenzothiazole_2","c12ccccc1(SC(=S)N2)"
"Thiocarbonyl_group","[C,c]=S"
"thioester","SC=O"
"thiol_1","[S-]"
"thiol_2","[SH]"
"Three-membered_heterocycle","*1[O,S,N]*1"
"triflate","OS(=O)(=O)C(F)(F)F"
"triphenyl_methyl-silyl","[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)"
"triple_bond","C#C"
